activation_threshold,deactivation_threshold,cost_bps,tests,pass_rate,median_cagr_delta_pct_points,median_sharpe_delta,median_mdd_improvement_pct_points,median_calmar_delta,median_turnover_delta
0.65,0.35,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.65,0.35,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.65,0.35,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.65,0.35,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.65,0.4,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.65,0.4,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.65,0.4,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.65,0.4,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.65,0.45,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.65,0.45,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.65,0.45,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.65,0.45,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.7,0.35,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.7,0.35,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.7,0.35,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.7,0.35,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.7,0.4,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.7,0.4,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.7,0.4,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.7,0.4,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.7,0.45,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.7,0.45,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.7,0.45,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.7,0.45,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.75,0.35,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.75,0.35,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.75,0.35,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.75,0.35,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.75,0.4,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.75,0.4,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.75,0.4,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.75,0.4,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
0.75,0.45,0.0,5,1.0,-0.23139372311533624,0.01470564916756456,2.9076622721126877,0.04684601892455159,0.0008421632459705907
0.75,0.45,2.0,5,1.0,-0.23604360214164455,0.014177171095719476,2.890517762362377,0.04618775459276542,0.0008421632459705907
0.75,0.45,5.0,5,1.0,-0.24301857175008656,0.013383064894666119,2.864806478183346,0.04520376786290947,0.0008421632459705907
0.75,0.45,10.0,5,1.0,-0.2546439242814502,0.012055867022385924,2.82196895114738,0.04357283082441332,0.0008421632459705907
